173.671616	7007.000000	6977.000000	6896.000000	6961.000000	6978.000000	6965.000000	7003.000000	6965.000000	6895.000000	6938.000000	6982.000000	6971.000000	6958.000000	6911.000000	7020.000000	7067.000000	7043.000000	6990.000000	6975.000000	7101.000000	6881.000000	6965.000000	7030.000000	6959.000000	6940.000000
173.801880	7441.000000	7379.000000	7171.000000	7386.000000	7321.000000	7372.000000	7385.000000	7351.000000	7180.000000	7314.000000	7323.000000	7359.000000	7329.000000	7303.000000	7460.000000	7481.000000	7448.000000	7353.000000	7376.000000	7555.000000	7257.000000	7403.000000	7368.000000	7378.000000	7366.000000
173.932159	7560.000000	7545.000000	7336.000000	7423.000000	7409.000000	7526.000000	7586.000000	7463.000000	7373.000000	7516.000000	7481.000000	7496.000000	7485.000000	7466.000000	7605.000000	7644.000000	7618.000000	7526.000000	7562.000000	7709.000000	7468.000000	7561.000000	7551.000000	7530.000000	7531.000000
174.062439	8267.000000	8070.000000	7933.000000	7973.000000	7993.000000	8339.000000	8349.000000	8158.000000	7869.000000	8072.000000	8180.000000	8319.000000	8293.000000	8118.000000	8301.000000	8270.000000	8207.000000	8244.000000	8333.000000	8316.000000	8235.000000	8299.000000	8284.000000	8395.000000	8307.000000
174.192734	9301.000000	8639.000000	8566.000000	8181.000000	8405.000000	9668.000000	9911.000000	9097.000000	8385.000000	8777.000000	9423.000000	9810.000000	9653.000000	9516.000000	9392.000000	9050.000000	9213.000000	9282.000000	9717.000000	8816.000000	10104.000000	9810.000000	9856.000000	10654.000000	10039.000000
174.323013	13277.000000	11668.000000	11407.000000	10562.000000	10981.000000	14163.000000	14940.000000	12639.000000	11202.000000	11942.000000	13520.000000	14744.000000	14388.000000	14177.000000	13344.000000	12836.000000	13261.000000	13394.000000	14510.000000	11931.000000	15499.000000	14571.000000	14950.000000	16901.000000	15095.000000
174.453293	12596.000000	11086.000000	10876.000000	10046.000000	10490.000000	13357.000000	14046.000000	12081.000000	10662.000000	11342.000000	12796.000000	13842.000000	13494.000000	13331.000000	12665.000000	12207.000000	12479.000000	12577.000000	13705.000000	11406.000000	14499.000000	13733.000000	14021.000000	15853.000000	14236.000000
174.583588	13218.000000	11818.000000	11489.000000	10670.000000	11131.000000	14023.000000	14687.000000	12667.000000	11207.000000	12051.000000	13458.000000	14460.000000	14005.000000	13866.000000	13401.000000	12849.000000	13152.000000	13239.000000	14224.000000	12220.000000	15205.000000	14490.000000	14761.000000	16420.000000	14897.000000
174.713882	9524.000000	8889.000000	8624.000000	8361.000000	8552.000000	9932.000000	10299.000000	9206.000000	8479.000000	8861.000000	9641.000000	10131.000000	9861.000000	9891.000000	9640.000000	9454.000000	9503.000000	9605.000000	10137.000000	9206.000000	10518.000000	10076.000000	10269.000000	11077.000000	10301.000000
174.844177	7842.000000	7682.000000	7520.000000	7472.000000	7604.000000	7868.000000	7912.000000	7685.000000	7511.000000	7638.000000	7776.000000	7825.000000	7876.000000	7796.000000	7831.000000	7903.000000	7838.000000	7794.000000	7886.000000	8005.000000	7909.000000	7864.000000	7966.000000	8064.000000	7946.000000
174.974472	7422.000000	7421.000000	7218.000000	7354.000000	7378.000000	7420.000000	7509.000000	7396.000000	7219.000000	7334.000000	7399.000000	7376.000000	7375.000000	7350.000000	7530.000000	7522.000000	7426.000000	7424.000000	7405.000000	7694.000000	7401.000000	7423.000000	7446.000000	7430.000000	7437.000000
175.104782	7142.000000	7162.000000	7030.000000	7268.000000	7232.000000	7127.000000	7194.000000	7213.000000	7026.000000	7290.000000	7080.000000	7127.000000	7155.000000	7199.000000	7459.000000	7206.000000	7173.000000	7195.000000	7290.000000	7741.000000	7130.000000	7213.000000	7209.000000	7148.000000	7187.000000
175.235092	7150.000000	7202.000000	7034.000000	7507.000000	7440.000000	7156.000000	7256.000000	7422.000000	7144.000000	7564.000000	7078.000000	7149.000000	7227.000000	7304.000000	7855.000000	7312.000000	7247.000000	7330.000000	7423.000000	8563.000000	7215.000000	7358.000000	7382.000000	7308.000000	7276.000000
175.365402	7101.000000	7169.000000	7006.000000	7338.000000	7297.000000	7133.000000	7150.000000	7231.000000	7051.000000	7358.000000	7071.000000	7092.000000	7194.000000	7223.000000	7528.000000	7217.000000	7200.000000	7227.000000	7318.000000	8085.000000	7099.000000	7267.000000	7269.000000	7188.000000	7239.000000
175.495712	7114.000000	7192.000000	7007.000000	7226.000000	7193.000000	7157.000000	7103.000000	7194.000000	7043.000000	7244.000000	7125.000000	7145.000000	7117.000000	7125.000000	7330.000000	7198.000000	7221.000000	7222.000000	7235.000000	7590.000000	7122.000000	7200.000000	7150.000000	7146.000000	7100.000000
175.626038	7002.000000	7025.000000	6914.000000	7016.000000	7015.000000	6985.000000	6985.000000	7035.000000	6900.000000	6988.000000	6992.000000	6969.000000	6946.000000	6968.000000	7062.000000	7057.000000	7003.000000	6975.000000	7039.000000	7166.000000	6913.000000	6968.000000	6992.000000	6959.000000	7023.000000
175.756348	7156.000000	7160.000000	6972.000000	7132.000000	7135.000000	7112.000000	7100.000000	7078.000000	7010.000000	7096.000000	7131.000000	7052.000000	7010.000000	7067.000000	7148.000000	7204.000000	7169.000000	7132.000000	7144.000000	7356.000000	7058.000000	7083.000000	7116.000000	7065.000000	7084.000000
175.886658	7076.000000	7111.000000	6920.000000	7027.000000	7037.000000	7049.000000	7032.000000	7001.000000	6955.000000	7048.000000	7038.000000	7037.000000	6982.000000	6977.000000	7100.000000	7182.000000	7102.000000	7070.000000	7068.000000	7305.000000	6973.000000	7006.000000	7012.000000	7002.000000	7027.000000
